city,st,state,lat,lon,county,zip
New Richland,MN,Minnesota,43.89444,-93.49444,Waseca,56072
New Trier,MN,Minnesota,44.60278,-92.93333,Dakota,null
New Ulm,MN,Minnesota,44.31194,-94.46306,Brown,56073
New York Mills,MN,Minnesota,46.51944,-95.37306,Otter Tail,56567
Nicollet,MN,Minnesota,44.27361,-94.18833,Nicollet,56074
Nielsville,MN,Minnesota,47.52833,-96.81667,Polk,56568
Nimrod,MN,Minnesota,46.63667,-94.87833,Wadena,null
Nisswa,MN,Minnesota,46.50806,-94.29417,Crow Wing,56468
Norcross,MN,Minnesota,45.86861,-96.19444,Grant,56274
North Branch,MN,Minnesota,45.51194,-92.98028,Chisago,55056
Northfield,MN,Minnesota,44.45833,-93.16111,Dakota,55057
North Mankato,MN,Minnesota,44.1700111,-94.0137806,Blue Earth,56003
North Oaks,MN,Minnesota,45.09139,-93.09056,Ramsey,"55126, 55127"
Northome,MN,Minnesota,47.87306,-94.27889,Koochiching,56661
Northrop,MN,Minnesota,43.73444,-94.43722,Martin,56075
North St. Paul,MN,Minnesota,45.01278,-92.99833,Ramsey,55109
Norwood Young America,MN,Minnesota,44.767,-93.917,Carver,"55368, 55397, 55473 plus about 20 more."
Nowthen,MN,Minnesota,45.3325,-93.44667,Anoka,null
Oakdale,MN,Minnesota,44.98722,-92.96583,Washington,"55042, 55128"
Oak Grove,MN,Minnesota,45.33806,-93.33333,Anoka,"55011, 55303, 55005"
Oak Park Heights,MN,Minnesota,45.035,-92.81056,Washington,55082
Odessa,MN,Minnesota,45.26028,-96.32861,Big Stone,56276
Odin,MN,Minnesota,43.86667,-94.74194,Watonwan,56160
Ogema,MN,Minnesota,47.10389,-95.92667,Becker,56569
Ogilvie,MN,Minnesota,45.83139,-93.42361,Kanabec,56358
Okabena,MN,Minnesota,43.74,-95.31583,Jackson,56161
Oklee,MN,Minnesota,47.8375,-95.85333,Red Lake,56742
Olivia,MN,Minnesota,44.77583,-94.99194,Renville,56277
Onamia,MN,Minnesota,46.07,-93.66833,Mille Lacs,56359
Ormsby,MN,Minnesota,43.84917,-94.6975,Martin,56162
Orono,MN,Minnesota,44.97111,-93.60389,Hennepin,"55300, 55391, 55399, 55356"
Oronoco,MN,Minnesota,44.16139,-92.54139,Olmsted,55960
Orr,MN,Minnesota,48.06111,-92.82917,St. Louis,55771
Ortonville,MN,Minnesota,45.30583,-96.44389,Big Stone,56278
Osakis,MN,Minnesota,45.86583,-95.14694,Douglas,56360
Oslo,MN,Minnesota,48.19583,-97.13139,Marshall,56744
Osseo,MN,Minnesota,45.11722,-93.39944,Hennepin,"55311, 55369"
Ostrander,MN,Minnesota,43.61389,-92.42694,Fillmore,55961
Otsego,MN,Minnesota,45.27167,-93.59889,Wright,"55301, 55362, 55330"
Ottertail,MN,Minnesota,46.42194,-95.56611,Otter Tail,56571
Owatonna,MN,Minnesota,44.08722,-93.22444,Steele,55060
Palisade,MN,Minnesota,46.71278,-93.48944,Aitkin,56469
Parkers Prairie,MN,Minnesota,46.15,-95.333,Otter Tail,56361
Park Rapids,MN,Minnesota,46.917,-95.05,Hubbard,56470
Paynesville,MN,Minnesota,45.383,-94.717,Stearns,56362
Pease,MN,Minnesota,45.69806,-93.64833,Mille Lacs,56363
Pelican Rapids,MN,Minnesota,46.56917,-96.08139,Otter Tail,56572
Pemberton,MN,Minnesota,44.00778,-93.78306,Blue Earth,56078
Pennock,MN,Minnesota,45.14944,-95.17556,Kandiyohi,56279
Pequot Lakes,MN,Minnesota,46.60389,-94.31583,Crow Wing,56472
Perham,MN,Minnesota,46.595,-95.57389,Otter Tail,56573
Perley,MN,Minnesota,47.17694,-96.80306,Norman,56574
Peterson,MN,Minnesota,43.78778,-91.83222,Fillmore,55962
Pierz,MN,Minnesota,45.983,-94.1,Morrison,56364
Pillager,MN,Minnesota,46.333,-94.467,Cass,56473
Pine,MN,Minnesota,0,0,null,null
Pine Island,MN,Minnesota,44.20278,-92.64389,Goodhue,55963
Pine River,MN,Minnesota,46.71806,-94.40417,Cass,56474
Pine Springs,MN,Minnesota,45.03083,-92.9575,Washington,"55115, 55128"
Pipestone,MN,Minnesota,43.99778,-96.31722,Pipestone,56164
Plainview,MN,Minnesota,44.16444,-92.16917,Wabasha,55964
Plato,MN,Minnesota,44.77444,-94.04,McLeod,55370
Plummer,MN,Minnesota,47.91167,-96.0425,Red Lake,56748
Plymouth,MN,Minnesota,45.01056,-93.45556,Hennepin,"55441, 55442, 55446, 55447"
Porter,MN,Minnesota,44.63806,-96.16583,Yellow Medicine,56280
Preston,MN,Minnesota,43.6725,-92.08278,Fillmore,55965
Princeton,MN,Minnesota,45.57278,-93.58528,Mille Lacs,55371
Prinsburg,MN,Minnesota,44.93639,-95.18972,Kandiyohi,56281
Prior Lake,MN,Minnesota,44.71333,-93.42278,Scott,55372
Proctor,MN,Minnesota,46.74333,-92.22556,St. Louis,55810
Quamba,MN,Minnesota,45.91306,-93.17667,Kanabec,55051
Racine,MN,Minnesota,43.77639,-92.48222,Mower,55967
Ramsey,MN,Minnesota,45.26083,-93.4425,Anoka,55303
Randall,MN,Minnesota,46.08833,-94.49944,Morrison,56475
Randolph,MN,Minnesota,44.525,-93.01944,Dakota,55065
Ranier,MN,Minnesota,48.61222,-93.34806,Koochiching,56668
Raymond,MN,Minnesota,45.01667,-95.23639,Kandiyohi,56282
Red Lake Falls,MN,Minnesota,47.88278,-96.27306,Red Lake,56750
Red Wing,MN,Minnesota,44.567,-92.533,Goodhue,55066
Redwood Falls,MN,Minnesota,44.54333,-95.10917,Redwood,56283
Regal,MN,Minnesota,45.40556,-94.84722,Kandiyohi,null
Remer,MN,Minnesota,47.05583,-93.91389,Cass,56672
Renville,MN,Minnesota,44.78972,-95.21278,Renville,56284
Revere,MN,Minnesota,44.22222,-95.36333,Redwood,56166
Rice,MN,Minnesota,45.75,-94.217,Benton,56367
Rice Lake,MN,Minnesota,46.87917,-92.12,St. Louis,55803
Richfield,MN,Minnesota,44.882026,-93.268447,Hennepin,55423
Richmond,MN,Minnesota,45.45361,-94.51944,Stearns,56368
Richville,MN,Minnesota,46.50667,-95.62639,Otter Tail,56576
